Wallet;Balance;Type
0xcfB2e3Fd46Ba5E52af6BaCbd63f0848696d674F3;"10768755,2";contract
0xe578aEdCE9f768c8dc945c6803820f5B219870d3;"360776,9813";contract
0x2Bc3C4b07511A550a681D23444caa6c006dFEAAA;"73310,17169";contract
0x471d69f435dF6464f3C3E655093040D81926927c;"29160,17621";contract
0x5356A4B1852ea9D0bE6987B886721868EF7cf0c2;"9240,866214";contract
0x8A0a9b663693A22235B896f70a229C4A22597623;"7480,024934";contract
0x0000258d378436416Da3A944787f6539B2960000;"2540,977027";contract
0x1A40fA10b2ba6D9F8eCA8190F996B558DAd10Cbb;"2224,327262";contract
0xeF13101C5bbD737cFb2bF00Bbd38c626AD6952F7;"1464,005467";contract
0x000000fee13a103A10D593b9AE06b3e05F2E7E1c;"1389,39952";contract
0x9008D19f58AAbD9eD0D60971565AA8510560ab41;"1215,012481";contract
0xad3b67BCA8935Cb510C8D18bD45F0b94F54A968f;"1149,009029";contract
0xA9048585166f4F7c4589ADe19567bB538035ED36;"738,1134664";contract
0x0B8a49d816Cc709B6Eadb09498030AE3416b66Dc;"516,6658761";contract
0xd42b0ECF8A9f8ba9Db7B0c989d73cf0Bd5f83b66;"475,0370746";contract
0xDe6B4964c4384BcDfA150a4A8bE9865C5b91E29C;"183,5921397";contract
0x00000047bB99ea4D791bb749D970DE71EE0b1A34;"183,2382629";contract
0x4a183b7ED67B9E14b3f45Abfb2Cf44ed22c29E54;"152,2918023";contract
0x00000000009E50a7dDb7a7B0e2ee6604fd120E49;"93,83462252";contract
0xb01F8f528702d411d24c9bB8Cc0e2ffF779ec013;"42,14988649";contract
0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43;"20,80451364";contract
0xE8A8B458BcD1Ececc6b6b58F80929b29cCecFF40;"14,30350941";contract
0xC6517D85f677d877ACe8005154745eDaF75b4489;"5,965826674";contract
0x64545160d28Fd0E309277C02D6d73b3923Cc4bFA;"2,547008498";contract
0x17CC6042605381c158D2adab487434Bde79Aa61C;"2,004451178";contract
0xeb4Af8a64070Ef0dEa6260e0Bf2310748f014d88;"1,375410546";contract
0xB0000000aa4f00aF1200C8B2BefB6300853F0069;"0,35307796";contract
0x24902AA0cf0000a08c0EA0b003B0c0bF600000E0;"0,150772178";contract
0x6b75d8AF000000e20B7a7DDf000Ba900b4009A80;"0,073044216";contract
0x00000000A991C429eE2Ec6df19d40fe0c80088B8;"0,072275946";contract
0x00000000003b3cc22aF3aE1EAc0440BcEe416B40;"0,062855194";contract
0x93FFb15d1fA91E0c320d058F00EE97F9E3C50096;"0,004077842";contract
0x4736B02DB015DCD1A57a69c889D073b100000000;"0,000502997";contract
0x00000023c10000eecB940000b914CDFD76Cc83D1;"0,00011611";contract
0xF50024f746D94F144a79003D00000000e380A500;"3,46224E-05";contract
0xCf5540fFFCdC3d510B18bFcA6d2b9987b0772559;"5,11936E-09";contract
0x0DDC6F9CE13b985DFd730b8048014B342D1b54F7;"3,36122E-11";contract
0xfDD3C9cCb3173E5877c1658e170Dc99a13BBE5ef;"5,74421E-13";contract
0x503e02c514c59f5978618B8F7E23109EE21f11d7;"2,8116E-14";contract
0xFEd97eCc13C740666cbc59679A38b7B8f574df78;"2,5589E-14";contract
0x073197fa2656bdAf1ca018b7b333379683B1D8aD;1E-16;contract
0xA88800CD213dA5Ae406ce248380802BD53b47647;"1,4E-17";contract
0x429Cf888dAE41D589D57F6Dc685707beC755fe63;6E-18;contract
0x1111111254EEB25477B68fb85Ed929f73A960582;1E-18;contract
0xE37e799D5077682FA0a244D46E5649F71457BD09;1E-18;contract
0xf081470f5C6FBCCF48cC4e5B82Dd926409DcdD67;1E-18;contract
0x53FacEe52e897740B140F5304E9Cd9DC6238d735;1E-18;contract
0x8d8404f8Cca4c8834Ca3caB1E54887ae47724BEE;1E-18;contract
0x5F515F6C524B18cA30f7783Fb58Dd4bE2e9904EC;1E-18;contract
0x9C8d7653A66d31F426e8b0219b65Fa50b97E0BB4;"2644348,597";wallet
0x9DA8BFA73922BA179B7ce8dC9D5D1d4444E48878;"2131485,974";wallet
0xe953ccd0731fa7936ff43Cd78984187c4A9530b2;"1565073,592";wallet
0x6469a798d4B46C074d3A279FAaeed614BcF6CF3A;"1317114,239";wallet
0x1AcbdA9d213432Bb8cE62451f4F294955A1178B0;"1000752,4";wallet
0x40BdC0752a9d1F2126566Bc881913E9913bc1729;"999219,8";wallet
0x960eD67301176764005232509c438C5B6d6Cf80D;"986106,2";wallet
0x0B2380b40d0133248A30324f4a5518DB77f231d2;"974443,6";wallet
0x621B128C17F4417Ab4AC16F6f42AFb67B3ea79C2;940000;wallet
0x7A501418cF0F31B1e7DF1Ade93575D53DFB056Af;"799359,2";wallet
0x83B3Ad3fCf6344599b7e733FFE042Cc01B14f1aD;751298;wallet
0x39cEEFf77d223Eb2819cBDda60472730ec16D85d;750133;wallet
0xD5515a7C39203d74cA50798aC778c4591B739af4;673548;wallet
0x218f3Cba601963A7e448c530105A2e2869f62e5c;"582950,0536";wallet
0xdDffF0C80fD31CECb1F6472a95d35d6Ec5aF4E56;580000;wallet
0xE841BA1bA7c4d1CB10375886E319CD0425694322;573483;wallet
0x65C25c0087B4135Cc4Dcf1CDc47e8C89A2b21F54;"551660,3772";wallet
0x16473a0D35C1B2Aca91E07fA981f045bcca0867d;"539994,9777";wallet
0xdf4a948aA92776cb89fd7D4ee3546E539d4bAfdC;"517707,5199";wallet
0xf9474Dfd5cAeD9B2995EaeDE2c5b88167C90eC39;"455071,6086";wallet
0xa5C1f0e75423485381345949dBaa30d23B17Bd38;"427469,4851";wallet
0x814B7539a152CEA1645494319C0ED2c56fAFfb97;"417258,7882";wallet
0xC6E0465f5d62fcC65af26858De736d9cd74c5A4A;"406912,1352";wallet
0xC34Eb8C3AfdAE4671A29f3F74e1Dbb2Ede150440;"400729,0267";wallet
0xB55700e94a8803e8b4d7D1c2D066892393859097;400000;wallet
0xb9880e9f6aCE7bcbc42aaC08e5b12c660835D442;"398319,6257";wallet
0xd5C2F908d8AF960afAafdC9825c13E8e8b7c4f6a;"386969,2922";wallet
0x29CFED3f488395217A719e7719E663CaD4620bf9;376000;wallet
0x480AdA2EdCfB114498377554fbD2de216EfC1d9F;"357768,3581";wallet
0x79A5A09629DE2542B33364acF5CfF036945e8a41;"331381,791";wallet
0x09dB702D690E69A7a2893dfEB5A03e2e4F49F30c;"322717,6104";wallet
0x168b0edE54ab02d0f5d1492f677968Bba60Edc6E;"322235,0508";wallet
0xB242A506c27D35619bae591d2d8CD698615Cc3b2;"318593,8167";wallet
0xE37b59aF1097319f904eb968C0bA7143DCa374C4;"318114,548";wallet
0x94ED7722E05E079aB1d1d92c18463c422E7E0Ea8;"313684,1897";wallet
0x48c25eDa7bC08B07A12C64feeE2997091D4b1524;"309466,7483";wallet
0x156574Ab431a5819e2a10e3933c20Ae01Af7E862;"307947,2939";wallet
0xE8a7576601102296a1Cfece08519eA8A6823d333;"300759,847";wallet
0x4399B12279662d8F268E29057B3FF5FF36bdf657;"300014,9858";wallet
0x43E9e3B3fcb86B5af5Cf6D2eB8da2ab4aa49AceF;"298629,0823";wallet
0xd986FC664e243E3F8220d2cbFdAF7dC67Dc407f4;"287881,9398";wallet
0xf59C83f146d966b476f85cc4ce66950c26b54c5f;"283367,3743";wallet
0x2c2B29a683C1f59547B732f69560E49713a12237;"273157,8095";wallet
0xA0Cc6cD94Dc93aB57B48208c5D1b691401EF4DAC;"268938,8434";wallet
0x6863e1091e73de0cd4546EF0D12183133cD252Bd;"261004,7988";wallet
0x1ea9bA3FE02FA26faa74116ad49B2CB0d78FB883;"259511,7114";wallet
0x3643E434aca83369DBF62F221C064226b14e45f6;"250969,5163";wallet
0x14baAa573906C24eC9DbDbd3D092fDb869B2d0f4;"246806,35";wallet
0x88dc24075EC029e1dab5F21785Ffa71ee6f6EfD8;"240825,8042";wallet
0x808C136858C6Ef2d6819FaA2e0c09548bB03c1F0;"237554,653";wallet
0x8AA00E994746e5dD8F35217C3A59D3AAc4C14A69;"237078,5323";wallet
0x1Ea738353E93C1D7E473F30d8B74aE701514de92;237037;wallet
0xE8eB02823cCCda263Be6210e048d674A3c4dDCa2;"236955,4454";wallet
0x62Ef77BdcADCD1A47646Cff4d05F785cDDf91ebf;"236587,2";wallet
0x5026B947963F685e0C7b27872AdcB2CE27C20708;"232583,424";wallet
0xEa1160A0919431a25FC4E56169a204026a80081C;230000;wallet
0x71b6862B6A4994FE7911E5440F833A860CC1c216;"227168,3164";wallet
0xb98dB99bD298bB5dABbF5b4B3eA96f4dD87Fb2ad;"224244,8755";wallet
0x6A177b71A0b2466dFB0199430b187353C926483E;"221556,5323";wallet
0xd444D11Dd038a07d1f2cFAcF2d9F78f8eF23e48C;213067;wallet
0x988E886b14a58DffA124230A489AD83F64008854;"212026,632";wallet
0xA294e2Ca0E189953FDdb3B12166845e487A15021;"211200,5783";wallet
0x51782CEa3Aa0aD5C6d31A0aE2759Fb121a45767E;"206412,6311";wallet
0x79dDB0EbBf040AeB031331d402b560876a92C684;"200456,3461";wallet
0xB64549b3AF82bAA21aDae86fB0839903451a3871;"197405,7813";wallet
0x08d82aE4C0C637c8B2813e5809bDcfc83Bf09CDE;"196418,7305";wallet
0xEdE2fc4f24C19Ed5752A0B241FC32D3C8861CF29;189234;wallet
0x18c4B561Fe515bA7d983835c65d69828378f8dDD;"187318,3523";wallet
0x34C091aade04b03180918143B6cb033706344D77;"175062,8584";wallet
0x87f2365A544078770C1E711375f01317906e1378;"171402,1034";wallet
0xebc46a98922803d5809a40a775B9216d364314e8;"171292,6839";wallet
0xd76B2AE9aF0DF582b86593aC6DD5b6B3731aB39C;"170509,7227";wallet
0xA7A05e87F6a6E2d2343ED4d21c80975ec79f6a98;"168422,7049";wallet
0x4dE5DcA00d51A468fDa8e032225A53c075226D20;"167701,2899";wallet
0xec1c27308a953A84FeD6f996010D69125aDb9925;"166980,8161";wallet
0xF5d682e5F9dC7F1Ebcf4122B82BF30bD451fA522;"162532,2008";wallet
0xBc041877218EFCC989095999f3e3a0Fb20b174af;"161514,7976";wallet
0x1bE0146b5aFF094d6F617aA626A919CAFa00827C;"161490,5074";wallet
0x3FCc772478b35d081aD85Fc80545D6f661d07DC5;"160151,8508";wallet
0xf24C5AFA8d7A300d72495E8A0f8Ed9e5a385F72a;"159325,9807";wallet
0x0f790bd62Dccdb44Ad30478f47841ad6b94bA217;"157283,0151";wallet
0x3A62a201853A3Bfd86FCF6F7b21775225920470b;"156097,7756";wallet
0x9c4990D69a707259E3D76141C025BB162E316f53;"153368,6529";wallet
0x77038b4459B6C87f0453d853Bdb0b08C6db8f1b6;"151249,9077";wallet
0x887241AaB7a310feA54e2d7d8fF6BE29C41c3DBA;"150302,6081";wallet
0x43EAa2969350EA4Bc54Fbe45C8a79Ea55EDCB00F;"149866,9091";wallet
0x3329003A1036d6499e955891e99f81F398BEcf0f;"149013,2286";wallet
0xDAD1BB778fE5b97b2CF3b4Ace19d07e6b80A4d91;"145865,1217";wallet
0xa057eB5668937bD5E654Ec95E16A9dEfc5C32fc7;"142509,5";wallet
0x5701fC65b3f53e336bB51445C01423a8a9Ab9dA9;"141164,9666";wallet
0xa4df0c4B794578151Ff52b6469233aF7Af449211;140000;wallet
0xb869e008108a403e8F870f9A711609C8e98F4759;"139275,9482";wallet
0xb161E5940836C429B1d46F0ccfaA0FefEAe14706;"137745,3367";wallet
0xaCFB2c80AD4De8cDe87c719Ed9369C86e750ba3B;"136689,3268";wallet
0x537fD73DC4a09B03b555B1aB1d83c63D3558d1B8;"136617,1538";wallet
0x739cA340c8f82466a9bA5384bAAf5b6249e954B9;"136267,1642";wallet
0x532277a1E4129E22dd2634e069A524BE41857541;"135059,8338";wallet
0xB55dE571B7998C059FDf282bb0E686820023e3AE;132000;wallet
0x709e44E7DaD986EB7734F7939E50256C0eBC21D8;130332;wallet
